iter	Passed	Remaining
402	11150	16518
403	11176	16488
404	11201	16456
405	11226	16424
406	11250	16392
407	11275	16361
408	11300	16329
409	11326	16299
410	11354	16271
411	11379	16240
412	11403	16207
413	11427	16174
414	11452	16143
415	11477	16112
416	11500	16079
417	11527	16049
418	11553	16020
419	11584	15997
420	11611	15969
421	11637	15938
422	11665	15912
423	11688	15878
424	11711	15844
425	11734	15810
426	11758	15778
427	11783	15748
428	11813	15723
429	11836	15690
430	11861	15659
431	11884	15625
432	11912	15598
433	11935	15565
434	11962	15537
435	11987	15507
436	12012	15475
437	12034	15442
438	12059	15410
439	12084	15380
440	12111	15352
441	12137	15322
442	12160	15290
443	12184	15258
444	12208	15226
445	12232	15194
446	12256	15163
447	12281	15132
448	12305	15101
449	12330	15071
450	12357	15042
451	12383	15013
452	12410	14985
453	12433	14952
454	12462	14927
455	12488	14899
456	12514	14869
457	12539	14838
458	12565	14809
459	12590	14780
460	12613	14748
461	12637	14716
462	12661	14684
463	12686	14655
464	12710	14624
465	12738	14596
466	12765	14569
467	12789	14538
468	12812	14506
469	12836	14475
470	12860	14443
471	12884	14412
472	12908	14382
473	12933	14351
474	12959	14323
475	12983	14293
476	13008	14262
477	13031	14231
478	13055	14200
479	13081	14172
480	13108	14144
481	13135	14116
482	13160	14087
483	13185	14057
484	13211	14028
485	13236	13998
486	13260	13968
487	13285	13938
488	13310	13909
489	13337	13881
490	13361	13851
491	13388	13823
492	13412	13793
493	13439	13766
494	13463	13735
495	13489	13706
496	13514	13677
497	13539	13648
498	13567	13622
499	13592	13592
500	13617	13563
501	13642	13533
502	13666	13503
503	13690	13473
504	13715	13444
505	13739	13414
506	13765	13385
507	13789	13355
508	13816	13327
509	13840	13297
510	13865	13268
511	13891	13240
512	13915	13210
513	13943	13183
514	13969	13155
515	13998	13130
516	14024	13102
517	14048	13072
518	14079	13048
519	14105	13020
520	14131	12992
521	14154	12961
522	14177	12930
523	14203	12902
524	14227	12872
525	14252	12843
526	14276	12813
527	14301	12784
528	14325	12755
529	14356	12731
530	14385	12706
531	14411	12678
532	14436	12648
533	14460	12619
534	14486	12590
535	14521	12570
536	14547	12542
537	14573	12514
538	14597	12485
539	14623	12456
540	14648	12428
541	14672	12398
542	14698	12370
543	14724	12342
544	14751	12315
545	14777	12287
546	14802	12258
547	14828	12231
548	14852	12201
549	14877	12172
550	14901	12142
551	14926	12114
552	14974	12104
553	15012	12085
554	15037	12056
555	15064	12030
556	15093	12004
557	15119	11975
558	15147	11949
559	15173	11921
560	15198	11893
561	15222	11863
562	15248	11836
563	15273	11807
564	15297	11777
565	15325	11751
566	15349	11721
567	15374	11693
568	15400	11665
569	15426	11637
570	15450	11608
571	15473	11578
572	15497	11549
573	15523	11520
574	15546	11491
575	15571	11462
576	15597	11434
577	15623	11406
578	15647	11377
579	15673	11349
580	15698	11321
581	15722	11292
582	15747	11263
583	15771	11234
584	15794	11204
585	15818	11175
586	15846	11149
587	15871	11120
588	15894	11090
589	15918	11061
590	15942	11033
591	15965	11003
592	15990	10974
593	16014	10945
594	16041	10918
595	16065	10890
596	16089	10861
597	16112	10831
598	16134	10801
599	16161	10774
600	16187	10746
601	16211	10717
602	16234	10688
603	16261	10661
604	16286	10633
605	16309	10603
606	16332	10574
607	16355	10545
608	16378	10515
609	16402	10487
610	16424	10457
611	16447	10427
612	16471	10398
613	16498	10372
614	16525	10344
615	16550	10317
616	16574	10288
617	16599	10260
618	16624	10232
619	16650	10204
620	16673	10176
621	16697	10147
622	16724	10120
623	16750	10093
624	16774	10064
625	16800	10037
626	16829	10011
627	16858	9986
628	16884	9959
629	16913	9933
630	16943	9908
631	16971	9882
632	16997	9854
633	17023	9827
634	17049	9799
635	17077	9773
636	17120	9756
637	17199	9759
638	17242	9741
639	17274	9716
640	17305	9692
641	17336	9667
642	17369	9643
643	17399	9618
644	17427	9592
645	17458	9567
646	17486	9540
647	17513	9513
648	17541	9486
649	17571	9461
650	17597	9433
651	17622	9405
652	17649	9378
653	17678	9352
654	17703	9324
655	17729	9297
656	17756	9270
657	17782	9242
658	17809	9215
659	17835	9187
660	17859	9159
661	17884	9131
662	17911	9104
663	17938	9077
664	17965	9050
665	17990	9022
666	18015	8994
667	18039	8965
668	18063	8937
669	18086	8908
670	18110	8879
671	18133	8851
672	18156	8821
673	18182	8794
674	18205	8765
675	18233	8739
676	18257	8710
677	18282	8682
678	18307	8655
679	18334	8627
680	18357	8599
681	18381	8570
682	18405	8542
683	18430	8514
684	18454	8486
685	18478	8457
686	18501	8429
687	18532	8404
688	18557	8376
689	18582	8348
690	18605	8320
691	18629	8291
692	18653	8263
693	18679	8236
694	18703	8207
695	18727	8179
696	18751	8151
697	18775	8123
698	18800	8095
699	18823	8067
700	18850	8040
701	18874	8012
702	18899	7984
703	18923	7956
704	18946	7927
705	18969	7899
706	18994	7871
707	19017	7843
708	19042	7815
709	19066	7787
710	19090	7759
711	19115	7732
712	19141	7705
713	19166	7677
714	19190	7649
715	19213	7621
716	19239	7593
717	19267	7567
718	19293	7540
719	19316	7512
720	19343	7485
721	19368	7457
722	19393	7430
723	19417	7402
724	19442	7374
725	19465	7346
726	19488	7318
727	19511	7289
728	19536	7262
729	19561	7235
730	19585	7207
731	19608	7179
732	19631	7150
733	19657	7123
734	19680	7095
735	19706	7068
736	19731	7041
737	19756	7013
738	19780	6986
739	19804	6958
740	19827	6930
741	19856	6904
742	19883	6877
743	19909	6850
744	19933	6822
745	19956	6794
746	19983	6768
747	20008	6740
748	20052	6719
749	20078	6692
750	20103	6665
751	20127	6637
752	20150	6609
753	20173	6581
754	20195	6553
755	20219	6525
756	20243	6498
757	20266	6470
758	20292	6443
759	20316	6415
760	20338	6387
761	20364	6360
762	20387	6332
763	20410	6304
764	20435	6277
765	20459	6249
766	20483	6222
767	20508	6195
768	20531	6167
769	20555	6139
770	20581	6112
771	20604	6085
772	20628	6057
773	20653	6030
774	20679	6003
775	20703	5976
776	20726	5948
777	20751	5921
778	20775	5893
779	20801	5866
780	20826	5839
781	20853	5813
782	20879	5786
783	20902	5758
784	20926	5731
785	20951	5704
786	20975	5676
787	20998	5649
788	21022	5622
789	21046	5594
790	21070	5567
791	21096	5540
792	21124	5514
793	21149	5487
794	21174	5460
795	21198	5432
796	21221	5405
797	21245	5377
798	21268	5350
799	21292	5323
800	21317	5296
801	21341	5268
802	21366	5241
803	21388	5214
804	21411	5186
805	21435	5159
806	21459	5132
807	21484	5105
808	21506	5077
809	21532	5050
810	21557	5023
811	21580	4996
812	21604	4969
813	21632	4943
814	21658	4916
815	21681	4888
816	21706	4862
817	21734	4835
818	21758	4808
819	21783	4781
820	21810	4755
821	21836	4728
822	21861	4701
823	21885	4674
824	21909	4647
825	21935	4620
826	21959	4593
827	21985	4567
828	22010	4540
829	22033	4512
830	22058	4485
831	22081	4458
832	22108	4432
833	22136	4406
834	22168	4380
835	22198	4354
836	22226	4328
837	22252	4301
838	22278	4275
839	22305	4248
840	22329	4221
841	22354	4194
842	22383	4168
843	22411	4142
844	22436	4115
845	22459	4088
846	22484	4061
847	22508	4034
848	22532	4007
849	22558	3980
850	22582	3953
851	22606	3926
852	22631	3900
853	22657	3873
854	22680	3846
855	22703	3819
856	22726	3792
857	22749	3765
858	22774	3738
859	22797	3711
860	22821	3684
861	22848	3657
862	22872	3630
863	22895	3603
864	22920	3577
865	22944	3550
866	22969	3523
867	22992	3496
868	23014	3469
869	23040	3442
870	23065	3416
871	23090	3389
872	23114	3362
873	23138	3335
874	23163	3309
875	23187	3282
876	23214	3255
877	23241	3229
878	23266	3202
879	23293	3176
880	23318	3149
881	23342	3122
882	23366	3096
883	23390	3069
884	23413	3042
885	23436	3015
886	23459	2988
887	23485	2962
888	23511	2935
889	23535	2908
890	23563	2882
891	23589	2856
892	23614	2829
893	23639	2802
894	23665	2776
895	23692	2749
896	23717	2723
897	23744	2697
898	23774	2671
899	23803	2644
900	23830	2618
901	23859	2592
902	23887	2566
903	23915	2539
904	23944	2513
905	23975	2487
906	24003	2461
907	24034	2435
908	24061	2408
909	24087	2382
910	24111	2355
911	24136	2328
912	24161	2302
913	24187	2275
914	24211	2249
915	24236	2222
916	24264	2196
917	24288	2169
918	24313	2142
919	24339	2116
920	24364	2089
921	24390	2063
922	24417	2037
923	24446	2010
924	24474	1984
925	24506	1958
926	24535	1932
927	24563	1905
928	24593	1879
929	24624	1853
930	24655	1827
931	24685	1801
932	24714	1774
933	24745	1748
934	24775	1722
935	24806	1696
936	24837	1670
937	24869	1643
938	24898	1617
939	24929	1591
940	24958	1564
941	24987	1538
942	25016	1512
943	25044	1485
944	25074	1459
945	25107	1433
946	25141	1407
947	25168	1380
948	25195	1354
949	25222	1327
950	25250	1301
951	25278	1274
952	25308	1248
953	25345	1222
954	25382	1196
955	25411	1169
956	25437	1142
957	25462	1116
958	25490	1089
959	25518	1063
960	25551	1036
961	25579	1010
962	25609	983
963	25639	957
964	25667	930
965	25696	904
966	25726	877
967	25758	851
968	25787	824
969	25817	798
970	25845	771
971	25885	745
972	25915	719
973	25943	692
974	25974	666
975	26001	639
976	26029	612
977	26058	586
978	26087	559
979	26115	532
980	26146	506
981	26175	479
982	26203	453
983	26232	426
984	26263	399
985	26293	373
986	26321	346
987	26349	320
988	26380	293
989	26410	266
990	26441	240
991	26470	213
992	26499	186
993	26553	160
994	26600	133
995	26632	106
996	26662	80
997	26691	53
998	26720	26
999	26750	0
