iter	RMSE
0	0.3834802224
1	0.3729316335
2	0.3638621031
3	0.3556530838
4	0.3489407914
5	0.3427389975
6	0.3367649555
7	0.331635853
8	0.3274388402
9	0.3232544285
10	0.319509955
11	0.3165290089
12	0.3138582442
13	0.3113614651
14	0.309174001
15	0.3073029752
16	0.3055545882
17	0.3038226263
18	0.3026349696
19	0.3011445891
20	0.3000733609
21	0.2989047544
22	0.2977221452
23	0.2966491824
24	0.2958033282
25	0.2950593991
26	0.2942500505
27	0.2934501306
28	0.2925339403
29	0.2918881155
30	0.2912994617
31	0.2908141619
32	0.2903283287
33	0.2897323447
34	0.2892563542
35	0.2886078915
36	0.2882464666
37	0.2878322411
38	0.2874357869
39	0.287081024
40	0.2865136864
41	0.2861280125
42	0.2858256178
43	0.2854204281
44	0.2849901797
45	0.2846948545
46	0.2843881257
47	0.2841207
48	0.2838630053
49	0.2835321104
50	0.283267483
51	0.2830257197
52	0.2825576071
53	0.2822554426
54	0.2820029978
55	0.2817443001
56	0.2815344772
57	0.2813285902
58	0.2808299
59	0.2806063294
60	0.2803837835
61	0.2801506455
62	0.2798415842
63	0.2795955482
64	0.2792488647
65	0.2790216445
66	0.2788202301
67	0.2785941172
68	0.278188202
69	0.2779824841
70	0.27777856
71	0.2775838435
72	0.2773846506
73	0.2772008438
74	0.2770069047
75	0.276782449
76	0.2766294524
77	0.2763634199
78	0.2761766534
79	0.276004194
80	0.2757363544
81	0.275565105
82	0.2753913826
83	0.2752244025
84	0.2750455878
85	0.274823703
86	0.2746405981
87	0.2744725209
88	0.274194061
89	0.2740226805
90	0.2738699662
91	0.2737258492
92	0.273562594
93	0.2733915649
94	0.2732497444
95	0.2730979816
96	0.2729387825
97	0.2727648239
98	0.272491422
99	0.2723426517
100	0.2721637815
101	0.2719786529
102	0.2718275092
103	0.2716677418
104	0.2715090649
105	0.2713599452
106	0.2712040209
107	0.2710579768
108	0.2709033574
109	0.2707874251
110	0.2706475661
111	0.2705093358
112	0.2703620668
113	0.2702196275
114	0.2700819822
115	0.2699448773
116	0.2698031217
117	0.2696652912
118	0.2695620934
119	0.2694285745
120	0.2691444887
121	0.2690122062
122	0.268873505
123	0.2687450418
124	0.2685192616
125	0.2683890568
126	0.2682570512
127	0.2679444373
128	0.2678136718
129	0.2676741931
130	0.2675611224
131	0.2673811953
132	0.2671599539
133	0.2670292427
134	0.2669027183
135	0.2667898381
136	0.2666498759
137	0.2664177209
138	0.2662833631
139	0.2661608502
140	0.2660418768
141	0.2659225161
142	0.2658044754
143	0.2656743028
144	0.2655609123
145	0.2653572433
146	0.2652459302
147	0.2651133075
148	0.2649899717
149	0.2648581029
150	0.2647500233
151	0.2645763095
152	0.2644485332
153	0.2641738898
154	0.2640426646
155	0.2639344857
156	0.2638424363
157	0.2637069011
158	0.2635737519
159	0.2634240072
160	0.2632946431
161	0.2631749962
162	0.2630737607
163	0.2629544734
164	0.262848222
165	0.2627420823
166	0.2626483639
167	0.2625515189
168	0.2624488088
169	0.2623171456
170	0.2622032117
171	0.2621211763
172	0.261869681
173	0.2616543654
174	0.2615435658
175	0.2613534895
176	0.2612726889
177	0.2611722729
178	0.2609657646
179	0.2608943892
180	0.2607913952
181	0.260632111
182	0.26048993
183	0.26038672
184	0.2602862812
185	0.2601811859
186	0.2600800142
187	0.259875017
188	0.2597190097
189	0.2596017777
190	0.2595159976
191	0.2594442893
192	0.25932539
193	0.2592580344
194	0.2591604191
195	0.2590356881
196	0.2588368989
197	0.2586166638
198	0.2585129287
199	0.2584122691
200	0.2583246668
201	0.2582289096
202	0.258058375
203	0.2579720864
204	0.257826751
205	0.2577222934
206	0.257618187
207	0.2574883235
208	0.2573764016
209	0.257283947
210	0.2572111447
211	0.2571349405
212	0.257076722
213	0.2569715574
214	0.2568721299
215	0.2567799163
216	0.2566794082
217	0.2564535962
218	0.2563701648
219	0.2562658906
220	0.2561778722
221	0.2561039757
222	0.2559937671
223	0.2559116839
224	0.2558182964
225	0.2557452923
226	0.2556873623
227	0.2555820256
228	0.2554552154
229	0.2553633292
230	0.2552398626
231	0.2551382978
232	0.2550420287
233	0.2549569541
234	0.2548724836
235	0.2547359435
236	0.2546325958
237	0.2545656278
238	0.254387413
239	0.2543017001
240	0.2542297026
241	0.2541366772
242	0.2540349924
243	0.253941197
244	0.2538587435
245	0.253773772
246	0.2535543102
247	0.2534840304
248	0.2532947813
249	0.2532415597
250	0.2531390174
251	0.2530679062
252	0.2528747802
253	0.2527902529
254	0.2526953986
255	0.2526258376
256	0.2524540249
257	0.2523696733
258	0.2522688763
259	0.2522095992
260	0.2521347274
261	0.252067452
262	0.2519825522
263	0.2518700627
264	0.2517653391
265	0.2516885288
266	0.2515742337
267	0.2514147457
268	0.2513504411
269	0.2512649513
270	0.2511881657
271	0.2511000841
272	0.2510537402
273	0.250960131
274	0.2508798429
275	0.2508133694
276	0.2507402178
277	0.250657766
278	0.2504466643
279	0.2503510123
280	0.2502515454
281	0.250116073
282	0.2500395671
283	0.2499818596
284	0.2498458423
285	0.2497464341
286	0.2496719184
287	0.2495751389
288	0.2495124698
289	0.2494288773
290	0.2493728559
291	0.2492855548
292	0.2492179889
293	0.2491756824
294	0.2490714353
295	0.2489745509
296	0.2488973846
297	0.2488144969
298	0.2487448048
299	0.2486674632
300	0.2486095466
301	0.2485333792
302	0.2484050932
303	0.2483251986
304	0.2482558957
305	0.2481704949
306	0.2480324576
307	0.2479360077
308	0.2478790584
309	0.2478102232
310	0.2477082839
311	0.2476263738
312	0.2475207752
313	0.2474442005
314	0.2473197234
315	0.2472291551
316	0.247163594
317	0.247115217
318	0.2470746296
319	0.2470163242
320	0.2469437226
321	0.246881562
322	0.2467675572
323	0.2465857032
324	0.2465002561
325	0.2464239737
326	0.246338352
327	0.2462596704
328	0.2461916275
329	0.246094977
330	0.2460186943
331	0.2459592791
332	0.2458902422
333	0.2458134393
334	0.2457567582
335	0.2456878616
336	0.2455805088
337	0.2455314346
338	0.2454565823
339	0.2453918524
340	0.2452651934
341	0.2451420854
342	0.2450439444
343	0.2449740425
344	0.2449184397
345	0.2447625769
346	0.2446889781
347	0.2446499364
348	0.2445851597
349	0.2445348611
350	0.2444615765
351	0.2444068538
352	0.244322959
353	0.244255312
354	0.2441732471
355	0.2441356752
356	0.2440731504
357	0.2440222401
358	0.2439535123
359	0.2438540007
360	0.2437749581
361	0.2436595007
362	0.2435889155
363	0.2435310199
364	0.2434795786
365	0.2433761792
366	0.243279426
367	0.2432118234
368	0.2431289513
369	0.2430599249
370	0.2430049548
371	0.2429434007
372	0.2428962956
373	0.2428311456
374	0.2427561915
375	0.2427194231
376	0.2426275976
377	0.2425711952
378	0.2424957033
379	0.2424278413
380	0.2423657855
381	0.242313871
382	0.2422439198
383	0.2421798172
384	0.2421346478
385	0.2420694443
386	0.2419417066
387	0.2418704022
388	0.2418078584
389	0.2417548169
390	0.2416211173
391	0.2415700741
392	0.2415052319
393	0.2414459135
394	0.2413535015
395	0.2412787955
396	0.2411773636
397	0.2411136913
398	0.2410403233
399	0.2409859496
400	0.2409215719
401	0.2408466532
402	0.2407761354
403	0.2406848991
404	0.2406494702
405	0.2405065045
406	0.2404397862
407	0.2403779099
408	0.2403040688
409	0.2402255528
410	0.2401752233
411	0.2399843189
412	0.239918711
413	0.2398745799
414	0.239819467
415	0.2397598658
416	0.2397081464
417	0.2396734281
418	0.2395874983
419	0.239522842
